기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2018	동대문구	협회 및 단체 수리 및 기타 개인 서비스업	2,581	1,161	5,466	2,919	2,547	2,020	3,271	35	465	130	606	396	1,124	2,488	4,807	16	163	77	496
2018	중랑구	합계	28,024	9,410	103,016	53,541	49,475	24,887	59,291	1,873	25,671	457	14,753	807	3,301	27,074	83,969	151	7,108	799	11,939
2018	중랑구	광업	1	1	3	2	1	-	-	1	3	-	-	-	-	1	3	-	-	-	-
2018	중랑구	제조업	3,384	1,024	15,250	6,303	8,947	3,143	12,787	230	2,318	10	126	1	19	3,332	14,534	24	460	28	256
2018	중랑구	전기 가스 증기 및 공기조절 공급업	6	-	109	70	39	1	1	4	42	1	66	-	-	5	43	-	-	1	66
2018	중랑구	수도 하수 및 폐기물 처리 원료 재생업	23	4	228	199	29	7	16	12	202	4	10	-	-	22	215	-	-	1	13
2018	중랑구	건설업	912	127	6,006	5,297	709	666	1,998	244	3,992	2	16	-	-	882	5,295	15	546	15	165
2018	중랑구	도매 및 소매업	5,296	2,074	16,071	8,417	7,654	4,593	10,228	686	5,415	15	424	2	4	5,002	12,546	42	857	252	2,668
2018	중랑구	운수 및 창고업	6,550	240	13,092	12,505	587	6,433	6,963	92	5,468	24	658	1	3	6,502	11,321	5	650	43	1,121
2018	중랑구	숙박 및 음식점업	4,152	2,490	11,212	4,292	6,920	4,064	10,224	82	956	2	11	4	21	4,085	10,342	5	47	62	823
2018	중랑구	정보통신업	135	28	1,027	668	359	69	195	59	656	7	176	-	-	121	618	-	-	14	409
2018	중랑구	금융 및 보험업	162	29	1,800	745	1,055	38	104	76	1,127	48	569	-	-	65	303	10	153	87	1,344
2018	중랑구	부동산업	1,085	396	2,921	1,890	1,031	860	1,309	85	844	11	65	129	703	1,049	2,220	3	424	33	277
2018	중랑구	전문 과학 및 기술 서비스업	336	66	1,643	998	645	223	615	84	833	27	191	2	4	291	956	13	459	32	228
2018	중랑구	사업시설 관리 사업 지원 및 임대 서비스업	321	77	2,853	1,560	1,293	191	520	113	2,209	10	96	7	28	264	1,335	13	938	44	580
2018	중랑구	공공행정 국방 및 사회보장 행정	47	8	3,471	2,358	1,113	-	-	-	-	47	3,471	-	-	47	3,471	-	-	-	-
